"","Order","Family","Genus","Body_size_mm","Reproductive_output_y","Offspring_size_min_mm","Offspring_size_max_mm","Habitat","Diel","Breeding"
"2","Anura","Alytidae","Alytes"," 50.0000"," 4.00"," 2.60"," 3.50","Arb","Noc","Lar"
"5","Anura","Alytidae","Alytes"," 40.0000"," 1.00"," 5.40"," 7.00","Arb","Noc","Lar"
"6","Anura","Alytidae","Alytes"," 55.0000"," 4.00"," 2.60"," 5.00","Arb","Crepu","Lar"
"7","Anura","Alytidae","Discoglossus"," 80.0000"," 6.00"," 1.50"," 2.00","Aqu","Noc","Lar"
"9","Anura","Alytidae","Discoglossus"," 65.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"11","Anura","Alytidae","Discoglossus"," 80.0000"," 1.00"," 1.00"," 1.50","Aqu","Noc","Lar"
"12","Anura","Alytidae","Discoglossus"," 70.0000"," 1.00"," 1.00"," 1.50","Aqu","Noc","Lar"
"25","Anura","Aromobatidae","Allobates"," 36.0000","12.00"," 1.50"," 2.10","Aqu","Crepu","Lar"
"37","Anura","Aromobatidae","Allobates"," 18.0000"," 1.00"," 1.50"," 2.00","Arb","Noc","Lar"
"44","Anura","Aromobatidae","Allobates"," 19.0000"," 3.00"," 1.50"," 1.50","Ter","Diu","Lar"
"103","Anura","Aromobatidae","Mannophryne"," 30.8000"," 1.00"," 1.80"," 2.20","Aqu","Diu","Lar"
"148","Anura","Arthroleptina","Arthroleptis"," 45.0000"," 1.00"," 2.00"," 2.00","Aqu","Diu","Dir"
"159","Anura","Arthroleptina","Arthroleptis"," 23.8000"," 1.00"," 4.00"," 4.00","Aqu","Noc","Dir"
"217","Anura","Arthroleptina","Leptopelis"," 41.0000"," 1.00"," 3.40"," 3.40","Aqu","Noc","Lar"
"249","Anura","Arthroleptina","Leptopelis"," 52.0000"," 1.00"," 4.00"," 4.00","Arb","Noc","Lar"
"254","Anura","Arthroleptina","Leptopelis"," 50.0000"," 1.00"," 2.50"," 2.50","Aqu","Noc","Lar"
"260","Anura","Bombinatorina","Bombina"," 50.0000"," 1.00"," 1.20"," 1.80","Aqu","Diu","Lar"
"264","Anura","Bombinatorina","Bombina"," 45.7500"," 1.00"," 1.20"," 1.20","Aqu","Diu","Lar"
"265","Anura","Bombinatorina","Bombina"," 50.0000"," 1.00"," 2.00"," 2.00","Aqu","Diu","Lar"
"271","Anura","Brachycephalidae","Brachycephalus"," 19.7000"," 1.00"," 5.10"," 5.30","Aqu","Diu","Dir"
"290","Anura","Brachycephalidae","Ischnocnema"," 40.0000"," 1.00"," 2.70"," 2.70","Ter","Crepu","Dir"
"295","Anura","Brachycephalidae","Ischnocnema"," 26.2600"," 1.00"," 2.40"," 2.40","Ter","Crepu","Dir"
"304","Anura","Brachycephalidae","Ischnocnema"," 25.5000"," 1.00"," 3.70"," 4.30","Ter","Crepu","Dir"
"317","Anura","Brevicipitidae","Balebreviceps"," 53.0000"," 1.00"," 4.00"," 4.00","Aqu","Diu","Dir"
"319","Anura","Brevicipitidae","Breviceps"," 60.0000"," 1.00"," 4.50"," 4.50","Aqu","Noc","Dir"
"348","Anura","Bufonidae","Bufo"," 95.0000"," 1.00"," 2.00"," 2.00","Aqu","Noc","Lar"
"353","Anura","Bufonidae","Altiphrynoides"," 31.5000"," 1.00"," 2.70"," 3.00","Arb","Diu","Lar"
"366","Anura","Bufonidae","Amietophrynus","115.0000"," 1.00"," 1.20"," 1.20","Ter","Noc","Lar"
"368","Anura","Bufonidae","Amietophrynus","120.0000"," 1.00"," 1.50"," 1.50","Ter","Noc","Lar"
"375","Anura","Bufonidae","Amietophrynus"," 85.0000"," 1.00"," 1.30"," 1.50","Aqu","Noc","Lar"
"385","Anura","Bufonidae","Amietophrynus","120.0000"," 1.00"," 1.95"," 1.95","Ter","Noc","Lar"
"393","Anura","Bufonidae","Amietophrynus"," 97.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"394","Anura","Bufonidae","Anaxyrus","111.0000"," 1.00"," 1.00"," 2.00","Ter","Noc","Lar"
"396","Anura","Bufonidae","Anaxyrus","125.0000"," 1.00"," 1.70"," 1.75","Ter","Crepu","Lar"
"397","Anura","Bufonidae","Anaxyrus"," 81.0000"," 1.00"," 1.40"," 1.70","Ter","Crepu","Lar"
"398","Anura","Bufonidae","Anaxyrus"," 69.0000"," 1.00"," 2.10"," 2.10","Ter","Crepu","Lar"
"399","Anura","Bufonidae","Anaxyrus","114.0000"," 1.00"," 1.10"," 1.20","Ter","Diu","Lar"
"404","Anura","Bufonidae","Anaxyrus"," 83.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"405","Anura","Bufonidae","Anaxyrus"," 79.0000"," 1.00"," 1.90"," 1.90","Ter","Noc","Lar"
"454","Anura","Bufonidae","Atelopus"," 54.1000"," 1.00"," 1.50"," 1.50","Aqu","Diu","Lar"
"457","Anura","Bufonidae","Atelopus"," 58.0000"," 1.00"," 2.00"," 2.10","Aqu","Diu","Lar"
"462","Anura","Bufonidae","Atelopus"," 50.0000"," 1.00"," 1.60"," 1.60","Aqu","Diu","Lar"
"465","Anura","Bufonidae","Atelopus"," 35.7000"," 1.00"," 0.80"," 0.80","Aqu","Diu","Lar"
"473","Anura","Bufonidae","Atelopus"," 40.0000"," 1.00"," 1.70"," 1.70","Aqu","Diu","Lar"
"482","Anura","Bufonidae","Atelopus"," 48.2000"," 1.00"," 1.30"," 1.30","Aqu","Diu","Lar"
"496","Anura","Bufonidae","Atelopus"," 42.4000"," 1.00"," 1.00"," 1.00","Aqu","Diu","Lar"
"524","Anura","Bufonidae","Atelopus"," 33.3000"," 1.00"," 1.00"," 1.00","Aqu","Diu","Lar"
"529","Anura","Bufonidae","Atelopus"," 39.2000"," 1.00"," 2.00"," 2.00","Aqu","Diu","Lar"
"531","Anura","Bufonidae","Atelopus"," 39.0000"," 1.00"," 2.20"," 2.20","Aqu","Diu","Lar"
"534","Anura","Bufonidae","Atelopus"," 60.0000"," 1.00"," 2.40"," 2.40","Aqu","Diu","Lar"
"535","Anura","Bufonidae","Atelopus"," 39.0000"," 1.00"," 1.00"," 1.00","Aqu","Diu","Lar"
"537","Anura","Bufonidae","Atelopus"," 63.0000"," 1.00"," 1.80"," 1.80","Aqu","Diu","Lar"
"540","Anura","Bufonidae","Bufo","110.0000"," 1.00"," 1.50"," 1.50","Aqu","Noc","Lar"
"541","Anura","Bufonidae","Bufo","150.0000"," 1.00"," 1.80"," 2.20","Aqu","Crepu","Lar"
"544","Anura","Bufonidae","Bufo","134.0000"," 1.00"," 2.00"," 2.40","Aqu","Noc","Lar"
"564","Anura","Bufonidae","Dendrophryniscus"," 25.0000"," 1.00"," 0.90"," 2.30","Aqu","Noc","Lar"
"568","Anura","Bufonidae","Dendrophryniscus"," 24.0000"," 1.00"," 0.50"," 1.00","Aqu","Diu","Lar"
"581","Anura","Bufonidae","Duttaphrynus","132.0000"," 1.00"," 1.50"," 1.50","Ter","Noc","Lar"
"587","Anura","Bufonidae","Duttaphrynus","160.0000"," 2.00"," 1.40"," 1.40","Ter","Noc","Lar"
"603","Anura","Bufonidae","Epidalea","100.0000"," 1.00"," 1.70"," 1.70","Ter","Noc","Lar"
"608","Anura","Bufonidae","Incilius","165.0000"," 1.00"," 1.40"," 1.60","Ter","Noc","Lar"
"614","Anura","Bufonidae","Incilius"," 99.0000"," 1.00"," 1.30"," 1.30","Ter","Diu","Lar"
"615","Anura","Bufonidae","Incilius"," 95.0000"," 1.00"," 1.80"," 1.80","Arb","Noc","Lar"
"618","Anura","Bufonidae","Incilius"," 62.0000"," 1.00"," 4.30"," 4.50","Ter","Diu","Lar"
"620","Anura","Bufonidae","Incilius"," 53.0000"," 1.00"," 2.50"," 3.50","Ter","Diu","Lar"
"625","Anura","Bufonidae","Incilius","107.0000"," 1.00"," 1.50"," 1.50","Ter","Noc","Lar"
"641","Anura","Bufonidae","Incilius","125.0000"," 1.00"," 1.20"," 3.00","Ter","Diu","Lar"
"693","Anura","Bufonidae","Mertensophryne"," 36.0000"," 1.00"," 2.50"," 2.50","Ter","Noc","Lar"
"707","Anura","Bufonidae","Nectophrynoides"," 24.0000"," 1.00"," 1.80"," 1.80","Ter","Noc","Viv"
"755","Anura","Bufonidae","Peltophryne","198.0000"," 1.00"," 2.00"," 2.00","Ter","Noc","Lar"
"762","Anura","Bufonidae","Phrynoidis","140.0000"," 2.00"," 0.40"," 1.30","Aqu","Noc","Lar"
"787","Anura","Bufonidae","Pseudepidalea","120.0000"," 1.00"," 1.30"," 1.80","Aqu","Noc","Lar"
"794","Anura","Bufonidae","Rhaebo","110.0000"," 1.00"," 1.90"," 1.90","Ter","Noc","Lar"
"806","Anura","Bufonidae","Rhinella"," 82.6000"," 1.00"," 0.50"," 0.50","Aqu","Noc","Lar"
"821","Anura","Bufonidae","Rhinella"," 64.9000"," 1.00"," 2.40"," 3.00","Ter","Diu","Lar"
"833","Anura","Bufonidae","Rhinella"," 90.0000"," 1.00"," 1.00"," 1.00","Aqu","Noc","Lar"
"850","Anura","Bufonidae","Rhinella"," 74.0000"," 1.00"," 2.00"," 2.00","Ter","Diu","Lar"
