"","accGenus","PalmTribe","PalmSubfamily","Climbing","Acaulescent","Erect","StemSolitary","StemArmed","LeavesArmed","MaxStemHeight_m","MaxStemDia_cm","UnderstoreyCanopy","Max_Blade_Length_m","AverageFruitLength_cm","AverageFruitWidth_cm","MinFruitWidth_cm","MaxFruitWidth_cm","FruitSizeCategorical","FruitShape","MainFruitColors"
"1","Acoelorrhaphe","Trachycarpeae","Coryphoideae","FALSE","FALSE","TRUE","FALSE","FALSE","TRUE","  9.10"," 15.0","canopy"," 1.300"," 0.7000000"," 0.7000000"," 0.500"," 0.900","small","ovoid","black"
"2","Acrocomia","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 12.00"," 50.0","canopy"," 3.500"," 4.2500000"," 4.6000000"," 3.800"," 5.400","large","ovoid","green"
"3","Actinokentia","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE","  9.00","  9.0","canopy"," 2.350"," 2.6000000"," 1.1000000"," 0.800"," 1.400","small","globose","red"
"4","Actinorhytis","Areceae","Arecoideae","FALSE","FALSE","TRUE","TRUE","FALSE","FALSE"," 40.00"," 30.0","canopy"," 4.760","10.0000000"," 5.5000000"," 5.000"," 6.000","large","ovoid","red"
"5","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  3.00","  6.0","understorey"," 1.450"," 1.1000000"," 1.1000000"," 1.000"," 1.200","small","globose","red"
"6","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 10.00","  8.0","canopy"," 2.200"," 1.7500000"," 1.7500000"," 1.500"," 2.000","small","ovoid","red"
"7","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE","  5.00","  5.0","understorey"," 2.200"," 0.7500000"," 0.7500000"," 0.700"," 0.800","small","globose","black"
"8","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  9.00"," 10.0","canopy"," 5.600"," 1.5000000"," 1.5000000"," 1.000"," 1.500","small","globose","black"
"9","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 21.00"," 20.0","canopy"," 5.500"," 2.1500000"," 2.1500000"," 2.000"," 3.000","small","elongate","green"
"10","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 10.00"," 10.0","canopy"," 2.940"," 1.3500000"," 1.3500000"," 0.700"," 2.000","small","globose","red"
"11","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE"," 10.00"," 15.0","canopy"," 2.000"," 1.9500000"," 1.9500000"," 1.600"," 2.300","small","ovoid","red"
"12","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","TRUE","TRUE","TRUE","  7.00"," 10.0","canopy"," 1.310"," 1.5000000"," 1.5000000"," 1.400"," 1.600","small","","red"
"13","Aiphanes","Cocoseae","Arecoideae","FALSE","FALSE","TRUE","FALSE","TRUE","TRUE"," 12.00"," 12.0","canopy"," 2.730"," 4.5000000"," 2.6500000"," 1.800"," 3.500","large","globose","multicolor"
